,6294,6296,6298,6314,6315,6317,6319,6325,6326,6327,6328,6348,6352,6353,6356,6358,6362,6363,6366,6373,6374,6382,6385,6386,6387,6390,6391,6392,6393,6394,6399,6400,6408,6409,6410,6411,6412,6421,6422,6426,6427,6436,6463,6464,6465
0,,1.0,,4.0,4.0,1.0,3.0,2.0,1.0,1.0,,1.0,3.0,3.0,2.0,1.0,,,,,2.0,2.0,4.0,1.0,3.0,1.0,,5.0,5.0,5.0,4.0,1.0,,2.0,,1.0,1.0,,4.0,1.0,8.0,2.0,0.0,0.0,0.0
1,2.0,1.0,,2.0,4.0,3.0,3.0,2.0,1.0,2.0,,2.0,1.0,4.0,,4.0,2.0,3.0,,,1.0,2.0,2.0,,3.0,,3.0,4.0,5.0,4.0,3.0,3.0,1.0,4.0,,5.0,4.0,2.0,5.0,1.0,,4.0,0.0,0.0,0.0
2,2.0,2.0,,2.0,4.0,2.0,4.0,,,1.0,,,4.0,1.0,,4.0,1.0,1.0,,1.0,,,,,2.0,1.0,5.0,,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,,,7.0,,0.0,0.0,0.0
3,,1.0,1.0,3.0,1.0,3.0,2.0,,,2.0,2.0,,3.0,1.0,2.0,4.0,,2.0,1.0,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,2.0,,3.0,,2.0,2.0,2.0,3.0,4.0,9.0,1.0,0.0,0.0,0.0
4,2.0,1.0,,1.0,2.0,4.0,4.0,,1.0,2.0,1.0,,2.0,,,4.0,,3.0,2.0,,,,,,3.0,1.0,1.0,5.0,3.0,1.0,2.0,,4.0,4.0,1.0,,,1.0,2.0,,9.0,,0.0,0.0,0.0
5,2.0,2.0,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,5.0,,2.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,8.0,2.0,0.0,0.0,0.0
6,,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,,,,3.0,3.0,,3.0,,2.0,2.0,,,,,,,2.0,3.0,5.0,5.0,4.0,2.0,,,4.0,,5.0,,4.0,2.0,3.0,2.0,0.0,0.0,0.0
7,2.0,2.0,,4.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,1.0,,1.0,,2.0,1.0,2.0,2.0,,4.0,1.0,1.0,5.0,3.0,4.0,,,3.0,5.0,4.0,4.0,2.0,3.0,4.0,4.0,9.0,3.0,0.0,0.0,0.0
8,2.0,1.0,1.0,2.0,3.0,3.0,1.0,,1.0,1.0,,1.0,2.0,4.0,,4.0,1.0,1.0,2.0,1.0,,1.0,3.0,1.0,4.0,1.0,2.0,5.0,2.0,,5.0,2.0,3.0,5.0,4.0,1.0,3.0,2.0,4.0,3.0,8.0,4.0,0.0,0.0,0.0
9,,2.0,1.0,4.0,3.0,1.0,4.0,,1.0,2.0,2.0,2.0,1.0,3.0,4.0,,,1.0,,,2.0,2.0,5.0,1.0,5.0,,,5.0,,3.0,4.0,,4.0,4.0,,1.0,,1.0,1.0,1.0,,4.0,0.0,0.0,0.0
10,,1.0,1.0,1.0,4.0,2.0,2.0,,1.0,2.0,,1.0,,2.0,,4.0,1.0,1.0,2.0,,1.0,2.0,4.0,,5.0,,4.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,,1.0,2.0,4.0,5.0,9.0,3.0,0.0,0.0,0.0
11,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,,,1.0,2.0,4.0,3.0,,,1.0,,,3.0,1.0,3.0,1.0,,2.0,1.0,,4.0,2.0,4.0,1.0,,,1.0,1.0,,5.0,9.0,5.0,0.0,0.0,0.0
