,0
0,70
1,36
2,171
3,208
4,102
5,91
6,172
7,74
8,14
9,247
10,114
11,232
12,86
13,195
14,83
15,178
16,154
17,304
18,158
19,124
20,48
21,337
22,104
23,319
24,180
25,150
26,157
27,229
28,222
29,147
30,66
31,155
32,53
33,288
34,160
35,90
36,92
37,309
38,218
39,64
40,271
41,332
42,300
43,252
44,33
45,272
46,244
47,69
48,26
49,302
50,226
51,78
52,47
53,335
54,2
55,214
56,197
57,43
58,196
59,54
60,325
61,269
62,175
63,326
64,215
65,125
66,134
67,202
68,280
69,286
70,76
71,294
72,60
73,82
74,119
75,301
76,231
77,107
78,181
79,342
80,191
81,108
82,341
83,111
84,237
85,72
86,274
87,97
88,89
89,41
90,298
91,30
92,211
93,73
94,45
95,213
96,40
97,205
98,56
99,263
100,204
101,44
102,32
103,106
104,168
105,236
106,159
107,313
108,188
109,339
110,163
111,137
112,101
113,291
114,198
115,210
116,161
117,121
118,17
119,285
120,57
121,246
122,79
123,75
124,39
125,59
126,284
127,117
128,189
129,35
130,303
131,144
132,146
133,46
134,11
135,84
136,278
137,99
138,239
139,249
140,15
141,169
142,324
143,306
144,34
145,128
146,184
147,345
148,151
149,52
150,126
151,152
152,270
153,42
154,187
155,221
156,16
157,182
158,130
159,258
160,292
161,264
162,330
163,10
164,123
165,251
166,132
167,209
168,141
169,240
170,25
171,21
172,327
173,305
174,296
175,293
176,253
177,212
178,203
179,220
180,133
181,277
182,259
183,289
184,193
185,19
186,307
187,20
188,207
189,323
190,105
191,179
192,265
193,290
194,31
195,87
196,4
197,24
198,317
199,321
200,149
201,310
202,38
203,234
204,250
205,81
206,80
207,257
208,143
209,58
210,85
211,255
212,322
213,0
214,167
215,6
216,173
217,5
218,256
219,340
220,228
221,338
222,261
223,223
224,127
225,118
226,22
227,135
228,112
229,329
230,186
231,96
232,27
233,23
234,62
235,267
236,320
237,279
238,148
239,242
240,138
241,282
242,142
243,200
244,71
245,174
246,266
247,103
248,254
249,315
250,51
251,95
252,334
253,314
254,7
255,162
256,156
257,116
258,18
259,67
260,93
261,122
262,63
263,235
264,8
265,98
266,233
267,120
268,166
269,336
270,295
271,216
272,199
273,136
274,224
275,308
276,13
277,28
278,113
279,153
280,219
281,88
282,29
283,1
284,140
285,318
286,201
287,281
288,109
289,50
290,94
291,131
292,275
293,9
294,139
295,110
296,217
297,248
298,164
299,61
300,37
301,145
302,328
303,241
304,245
305,276
306,297
307,12
308,190
309,344
310,299
311,262
312,331
313,3
314,287
315,194
316,192
317,68
318,312
319,273
320,311
321,77
322,170
323,225
324,243
325,185
326,316
327,100
328,230
329,65
330,129
331,49
332,115
333,268
334,176
335,165
336,333
337,238
338,55
339,227
340,177
341,260
342,183
343,206
344,283
345,343
