,0
0,50
1,52
2,176
3,143
4,66
5,190
6,76
7,187
8,103
9,79
10,140
11,30
12,152
13,117
14,29
15,177
16,57
17,130
18,54
19,182
20,60
21,179
22,100
23,156
24,184
25,11
26,135
27,84
28,133
29,82
30,136
31,149
32,195
33,0
34,203
35,19
36,80
37,97
38,196
39,116
40,74
41,99
42,43
43,91
44,37
45,198
46,111
47,6
48,199
49,65
50,34
51,2
52,122
53,69
54,164
55,61
56,23
57,48
58,101
59,47
60,153
61,200
62,72
63,155
64,160
65,162
66,163
67,141
68,89
69,205
70,28
71,102
72,172
73,39
74,88
75,49
76,53
77,161
78,154
79,175
80,83
81,40
82,124
83,202
84,1
85,171
86,12
87,129
88,128
89,197
90,127
91,92
92,137
93,180
94,14
95,64
96,145
97,26
98,138
99,59
100,192
101,73
102,147
103,204
104,125
105,113
106,15
107,20
108,183
109,31
110,167
111,168
112,132
113,108
114,193
115,27
116,45
117,151
118,44
119,3
120,173
121,78
122,56
123,58
124,7
125,90
126,41
127,21
128,110
129,4
130,5
131,146
132,86
133,119
134,70
135,67
136,105
137,144
138,17
139,178
140,98
141,112
142,170
143,42
144,209
145,123
146,169
147,75
148,210
149,142
150,36
151,114
152,93
153,186
154,120
155,71
156,81
157,109
158,121
159,24
160,208
161,62
162,188
163,150
164,8
165,32
166,189
167,106
168,95
169,51
170,191
171,33
172,94
173,9
174,25
175,139
176,157
177,201
178,158
179,77
180,148
181,85
182,118
183,181
184,38
185,13
186,194
187,165
188,87
189,16
190,68
191,55
192,185
193,134
194,207
195,174
196,22
197,63
198,107
199,166
200,104
201,159
202,46
203,131
204,126
205,206
206,115
207,10
208,18
209,35
210,96
