
# Curve 0 of 1, 25 points
# Curve title: "'Figures/plotdata/exp_psychcorr.csv' matrix"
# x y  pixel type
0.0000000e+00 0.0000000e+00 1  i
1.0000000e+00 0.0000000e+00 0.43206  i
2.0000000e+00 0.0000000e+00 -0.744466  i
3.0000000e+00 0.0000000e+00 -0.663328  i
4.0000000e+00 0.0000000e+00 0.618286  i
0.0000000e+00 1.0000000e+00 0.43206  i
1.0000000e+00 1.0000000e+00 1  i
2.0000000e+00 1.0000000e+00 -0.49124  i
3.0000000e+00 1.0000000e+00 -0.497388  i
4.0000000e+00 1.0000000e+00 0.353767  i
0.0000000e+00 2.0000000e+00 -0.744466  i
1.0000000e+00 2.0000000e+00 -0.49124  i
2.0000000e+00 2.0000000e+00 1  i
3.0000000e+00 2.0000000e+00 0.818726  i
4.0000000e+00 2.0000000e+00 -0.732207  i
0.0000000e+00 3.0000000e+00 -0.663328  i
1.0000000e+00 3.0000000e+00 -0.497388  i
2.0000000e+00 3.0000000e+00 0.818726  i
3.0000000e+00 3.0000000e+00 1  i
4.0000000e+00 3.0000000e+00 -0.751646  i
0.0000000e+00 4.0000000e+00 0.618286  i
1.0000000e+00 4.0000000e+00 0.353767  i
2.0000000e+00 4.0000000e+00 -0.732207  i
3.0000000e+00 4.0000000e+00 -0.751646  i
4.0000000e+00 4.0000000e+00 1  i

