random_diss,qsampled_diss,m2_diss,m3_diss,random_resp,qsampled_resp,m2_resp,m3_resp,run
0.9694656488549618,0.9847328244274809,0.0,0.9847328244274809,1,5,4,3,0
0.9672230968010218,0.49236641221374045,0.0,0.9748566845872813,3,1,2,3,0
0.9091325784840879,0.5925614554259003,0.0,0.6499044563915208,4,4,5,5,0
0.8994245267128642,0.6597321855571496,0.24632352941176472,0.7167353322652018,3,4,2,3,0
0.917604871749654,0.5277857484457197,0.1970588235294118,0.7715707319561387,4,1,3,2,0
0.8529695555274919,0.4398214570380998,0.1642156862745098,0.7312744390328958,3,2,2,3,0
0.9028854693637005,0.3769898203183712,0.28361344537815125,0.8103803088782408,3,2,3,5,0
0.8708239341884776,0.434957861830662,0.415862939950413,0.8768573208329213,4,1,5,4,0
0.7771885872146352,0.291231998428768,0.4586249021916014,0.8862520310322428,3,1,4,3,0
0.7994697284931718,0.3621087985858912,0.41276241197244123,0.8869601612623518,2,4,1,4,0
0.7675930903832476,0.3291898168962647,0.37523855633858294,0.7796948621980494,1,3,4,3,0
0.7036269995179772,0.3017573321549093,0.4144113849770344,0.7147202903482119,1,2,3,3,0
0.726424922631979,0.2786152609707887,0.38253358613264715,0.7351712314192606,4,3,4,5,0
0.7451111115631779,0.25896160246011807,0.3739240350497383,0.7046835625979861,1,4,4,5,0
0.7460117501026441,0.24169749562944354,0.4048249942894438,0.722729288966659,4,3,5,4,0
0.6993860157212288,0.22659140215260332,0.3795234321463535,0.7400587084062428,5,2,5,5,0
0.6669260944494504,0.27013247660813716,0.35719852437303856,0.7570394293333134,3,2,4,4,0
0.6442622737079939,0.3052688790363125,0.33735416190786977,0.7535609995250518,3,3,2,4,0
0.662985311933889,0.28920209592913815,0.3711776270706134,0.7506196005292413,5,2,2,1,0
0.6298361659411043,0.27474199955454826,0.4026187457170828,0.7594400467781641,4,2,4,5,0
0.643335427558822,0.30150698513794927,0.38345598799956027,0.7338340015368069,5,1,3,4,0
