random_diss,qsampled_diss,m2_diss,m3_diss,random_resp,qsampled_resp,m2_resp,m3_resp,run
0.8854961832061069,0.0,0.0,0.9694656488549618,5,2,4,3,0
0.44274809160305345,0.4494163424124514,0.0,0.9672230968010218,3,2,2,1,0
0.616751297485736,0.29961089494163423,0.0,0.6448153978673479,5,2,1,4,0
0.5,0.2247081712062257,0.0,0.7134673584089927,4,4,3,3,0
0.5980652503793626,0.17976653696498054,0.18923661048150492,0.7531876798306424,2,1,1,4,0
0.49838770864946885,0.16512345679012344,0.1576971754012541,0.5969076098806966,1,4,3,5,0
0.5700466074138305,0.14153439153439154,0.2780261503439321,0.7970000010157524,3,1,1,4,0
0.5994852259315461,0.12384259259259259,0.24327288155094057,0.8674848176585928,5,2,4,4,0
0.5311637807247777,0.18472617917062362,0.30513145026750277,0.8462540906552847,5,1,3,5,0
0.5673807359856333,0.16625356125356125,0.2746183052407525,0.7616286815897559,2,2,3,3,0
0.4947927247857687,0.15113960113960115,0.31745507502695536,0.7136057776151664,1,1,1,2,0
0.5368933310536214,0.20976374792474206,0.29100048544137574,0.7374719628139026,2,1,3,4,0
0.4961540943641684,0.27009053470344685,0.2686158327151161,0.7576664272128332,1,2,5,5,0
0.5070055425660068,0.25079835365320063,0.2494289875211792,0.7151094762505339,2,1,1,3,0
0.5237798857052846,0.2842467344730647,0.23280038835310057,0.7232118570940328,1,2,5,5,0
0.5439950317375931,0.26648131356849813,0.2182503640810318,0.7405111160256559,5,2,4,3,0
0.5708188534000876,0.2508059421821159,0.2587421976056726,0.7481025337530468,1,1,4,4,0
0.5391075267753155,0.2368722787275539,0.24436763107202417,0.7533436783685413,3,3,3,5,0
0.5633650253660883,0.27598426405768267,0.23150617680507554,0.7400098005596707,2,4,4,2,0
0.5851967740977839,0.2623246656022943,0.26591253874381365,0.7517981198117963,3,2,2,4,0
0.5777657929763995,0.28567176752561857,0.25325003689887016,0.6798250369292531,1,1,1,5,0
0.5739207156859576,0.2733799757328519,0.2871932170398306,0.6034693593630209,4,5,1,5,0
0.513943486501544,0.2614938898314235,0.3181848162989684,0.6207104176986923,2,3,5,4,0
0.49252917456397965,0.29976735192415505,0.35492711561984464,0.6364253792562239,2,1,4,4,0
0.4973063329896094,0.2882678595338048,0.3440477784258212,0.6638548762734875,1,1,4,3,0
0.5166407047977013,0.31536346582821256,0.3308151715632896,0.6765048280779073,3,2,3,4,0
0.5289650338926547,0.3333575900300235,0.2822182192096638,0.6828684243974548,1,2,2,4,0
0.5526224304200961,0.3276923992038069,0.3081703761461484,0.6984525148851414,2,2,3,3,0
0.5680492431642307,0.3163927767410159,0.33202657007214326,0.7088507040270331,2,3,1,5,0
0.5822700489317998,0.3390220290818936,0.32095901773640517,0.7183977026763688,1,1,5,5,0
0.595179838070417,0.32808583459538093,0.3269742082659227,0.695293716298319,3,4,4,1,0
0.5853125139535487,0.3419957696939653,0.3167567471624698,0.6735091403837725,2,2,4,3,0
0.6029501011958124,0.33221277934331805,0.33421356934766033,0.684200107369699,3,2,3,5,0
0.5988081105485187,0.3360336471749604,0.33686147684456513,0.6780408416978639,2,4,2,2,0
0.610273088973005,0.3404742176650955,0.3558082917918633,0.6872396747922107,3,5,1,3,0
0.6172874650991307,0.3474668670355929,0.3669039086490535,0.6926495664961816,2,3,3,4,0
0.6276310471234786,0.3641018966552515,0.36540166124548396,0.682343382394041,4,4,3,4,0
0.637271165766428,0.3809259768859686,0.3816244245460414,0.6905438353567667,4,1,2,3,0
0.6461892032305112,0.39673310410837015,0.39748020853204036,0.7161370509959014,2,3,3,3,0
0.6300344731497484,0.4113194827200532,0.3875432033187393,0.701697472714559,1,3,3,4,0
0.6146677786826813,0.41152825149717837,0.38854389173953663,0.6939219884427104,4,2,4,4,0
0.602618427142996,0.4043230762493672,0.3818859631526217,0.6770971549033623,3,4,4,4,0
0.5928139647104902,0.4264442027305366,0.36620218440659225,0.6605719423064261,3,2,2,5,0
0.5697376679261843,0.4189224418572455,0.36035658126275566,0.6555641801149565,5,2,3,5,0
0.557076830861158,0.429596263360241,0.3689119126171288,0.6425076881230523,5,5,2,2,0
0.5558996512719517,0.4231194118984279,0.37990027373068314,0.6311159103745422,4,1,1,1,0
0.5566508882580474,0.4353747575220854,0.3718172891832217,0.6239076442751095,4,1,4,2,0
0.5455092692030494,0.4471775090443111,0.38224223470850643,0.6322996865822653,2,3,3,3,0
0.5535601004438035,0.47681169237923077,0.3828840355550772,0.6397291402253791,2,3,2,4,0
0.5550379180427707,0.48681483332042896,0.394378125681327,0.6402047725169114,4,2,3,4,0
0.555163837853236,0.4615850707042648,0.3912238180576863,0.6384305862573488,2,1,1,2,0
0.5793156790192338,0.4714776665503686,0.3994401402146303,0.6443840864763426,4,3,4,4,0
0.5587447500845637,0.47209699220809553,0.3919035337954863,0.6381114819313412,3,4,3,4,0
0.5820598387771283,0.4632737053777543,0.39622013502149583,0.6448002591082463,2,1,1,4,0
0.58829738881171,0.47303236527997694,0.40691331075312304,0.6512540608530344,5,1,4,3,0
0.5732179630497019,0.4712509608803755,0.38798721919274903,0.6427985455710417,2,3,4,3,0
0.5773760815580729,0.462849639470157,0.3906383403320376,0.6407220177285717,5,5,5,5,0
0.5823318699340068,0.4724438399992183,0.3999451875254405,0.6480164829181241,3,4,4,4,0
0.5680300158883002,0.4644734160098179,0.4023089918194229,0.6386853310144641,3,4,1,2,0
0.5785956413899819,0.45497266142396675,0.42232833197547937,0.6473338208664299,3,2,2,3,0
0.5795606677075202,0.4562572626028088,0.4223548203816411,0.6513209400535621,1,3,4,4,0
0.5803961244332979,0.4456779553723355,0.4150480072075763,0.6639677900344074,1,1,1,4,0
0.5885004808437028,0.4524341842910389,0.4051403520828186,0.6696587013347408,1,2,1,4,0
0.5754769961672772,0.4512514765841666,0.41340493203641737,0.6520161551649993,1,2,3,2,0
0.5665733113586844,0.4531329473817147,0.41251171634277534,0.6449157473766058,4,3,4,4,0
0.5523944246556737,0.4333410393254673,0.4173722774290833,0.6301402663872213,1,4,1,3,0
0.5355221903204211,0.4201266564354427,0.4216322770347895,0.631336891312528,2,4,1,3,0
0.5295215578318601,0.4245356247063493,0.4166416871953573,0.6317566093261321,5,1,5,3,0
0.5284685754817486,0.4196958703954901,0.41579370820423284,0.6262784635998341,3,1,3,5,0
0.5261774310836456,0.41182613854140016,0.4104749962445507,0.6244400153872969,4,3,4,4,0
0.534115281230243,0.42130511921312375,0.4048771765836868,0.6326810416829193,3,2,3,2,0
0.5399968733632665,0.41821748949716026,0.4021077222324688,0.6421860950385854,1,3,5,2,0
0.5410277924477142,0.42268118258324444,0.4136194491669293,0.6417747749858038,5,4,2,4,0
0.5454372891722368,0.42593427559937636,0.41171395571752695,0.6367757122981562,1,5,2,4,0
0.5451163654536404,0.4257383903976402,0.4118153631866312,0.628268924792193,5,2,1,5,0
0.5332216655826596,0.4239357263094225,0.4155283365619295,0.6306109033820286,2,1,1,5,0
0.5208682232437011,0.39641831271670697,0.3908607254814886,0.5981186843003862,1,2,3,5,0
0.5034975629046906,0.38190624398021017,0.39992351411769594,0.6045422871898379,2,5,4,4,0
0.510983707861285,0.4084116671920892,0.4012234909060558,0.6017236224279372,5,1,2,5,0
0.5222753661258408,0.3911165978802597,0.381967721463014,0.5936667567413807,1,2,3,5,0
0.5114117823182518,0.3888486812101371,0.3810811739854739,0.597999226011242,2,2,3,4,0
0.5066617785872786,0.3930321863023937,0.3802122714096908,0.5897883071493025,3,2,2,4,0
0.5083477733816721,0.38948095942819266,0.38218044576226246,0.5861244393176017,4,3,1,4,0
