Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
659b88f877b71480cf793be5,5d351eb3ca8f5b0001834ca0,APPROVED,2024-01-08T05:32:40.660000Z,2024-01-08T05:35:24.143000Z,2024-01-08T07:02:57.246000Z,2024-01-08T05:35:24.564537Z,164.0,CLK2WKL4,538,30,Female,Mixed,Latvia,United Kingdom,Latvia,Russian,No,Part-Time
659b890a8288a8907a2c9ec9,6531294a8f23c609a009bdf7,APPROVED,2024-01-08T05:33:01.908000Z,2024-01-08T05:36:59.755000Z,2024-01-08T07:03:00.426000Z,2024-01-08T05:37:00.134573Z,238.0,CLK2WKL4,89,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
659b8a3539833e0455674dac,5db5e92f734a26000b470dde,APPROVED,2024-01-08T05:42:48.251000Z,2024-01-08T05:45:50.033000Z,2024-01-08T07:03:30.756000Z,2024-01-08T05:45:50.510696Z,182.0,CLK2WKL4,782,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
659b8aaca6b2c5c5a9112f41,5a524d9e76d1c60001aaab6c,APPROVED,2024-01-08T05:40:02.542000Z,2024-01-08T05:43:27.928000Z,2024-01-08T07:02:58.936000Z,2024-01-08T05:43:28.316690Z,206.0,CLK2WKL4,153,44,Female,White,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
659b8b0f0eef780a15c041d9,5c4378c535b63800019b3136,APPROVED,2024-01-08T05:43:00.369000Z,2024-01-08T05:48:20.980000Z,2024-01-08T07:03:02.122000Z,2024-01-08T05:48:21.405756Z,321.0,CLK2WKL4,918,38,Male,White,Poland,United Kingdom,Poland,Polish,No,Full-Time
659b8b191661eb4a6cf4d19f,5e2761b3ce16da9982f88406,APPROVED,2024-01-08T05:42:04.655000Z,2024-01-08T05:45:42.552000Z,2024-01-08T07:03:44.430000Z,2024-01-08T05:45:42.947631Z,218.0,CLK2WKL4,722,24,Female,Asian,Brunei Darussalam,United Kingdom,United Kingdom,English,Yes,Full-Time
659b8b29dcf6e5a4b36384d0,5d96203c02814f00178bd14c,APPROVED,2024-01-08T05:42:04.056000Z,2024-01-08T05:44:03.782000Z,2024-01-08T07:03:00.994000Z,2024-01-08T05:44:04.201544Z,120.0,CLK2WKL4,474,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
659b8b4739833e0455674dc2,5883d68d300c0b000113db56,APPROVED,2024-01-08T05:42:42.497000Z,2024-01-08T05:46:20.364000Z,2024-01-08T07:03:01.536000Z,2024-01-08T05:46:20.778131Z,218.0,CLK2WKL4,1123,51,Female,White,Ireland,United Kingdom,Ireland,English,No,Part-Time
659b8b78c606f0ff4590e68b,5d2476c58352f000153bbcd6,APPROVED,2024-01-08T05:43:30.412000Z,2024-01-08T05:47:31.789000Z,2024-01-08T07:03:12.258000Z,2024-01-08T05:47:32.195567Z,242.0,CLK2WKL4,807,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
659b8b9ce537f65acbd343a5,6061ea5fba199ba84a255ee5,APPROVED,2024-01-08T05:44:03.672000Z,2024-01-08T05:47:58.559000Z,2024-01-08T07:03:02.675000Z,2024-01-08T05:47:59.008629Z,235.0,CLK2WKL4,586,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
659b8ba580820849a02c3033,5bef31aa059b3200010715dc,APPROVED,2024-01-08T05:44:05.858000Z,2024-01-08T05:49:30.282000Z,2024-01-08T07:03:13.040000Z,2024-01-08T05:49:30.734396Z,325.0,CLK2WKL4,1167,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
